ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento
4746;Eloah Melo;63;496.085.713-75;Feminino;Divorciado;kaique93@example.com;+55 (051) 5219-4147;Martins;AP;Ford;Ecosport;2015;Branco;154751.27;2022-06-14;Consórcio
4747;Emanuella Gomes;41;124.387.956-46;Feminino;Casado;marianacassiano@example.net;+55 71 7692-7712;Leão;SC;Peugeot;2008;2020;Prata;167172.61;2022-12-31;À vista
4748;Lunna Pires;60;374.195.208-79;Feminino;Casado;vicenteda-costa@example.org;21 9569 0593;Costela;MA;Peugeot;2008;2013;Branco;138793.65;2021-06-27;À vista
4749;Yan Leão;35;152.439.086-06;Masculino;Divorciado;ycunha@example.com;(061) 3781 7959;Campos Paulista;PI;Volskwagen;Saveiro;2013;Branco;112387.49;2022-07-23;Leasing
4750;Renan Lima;41;312.780.569-12;Masculino;Divorciado;pimentaaugusto@example.org;71 2713-4331;Freitas da Praia;SP;Hyundai;HB20S;2013;Azul;167987.36;2017-07-29;Consórcio
4751;Maria Luísa Cassiano;53;648.051.237-53;Feminino;Solteiro;pachecoyasmin@example.com;(021) 1000-7364;da Conceição Grande;RN;Peugeot;3008;2014;Branco;90139.35;2018-11-26;À vista
4752;Davi Lucca Cassiano;35;721.946.580-76;Masculino;Divorciado;ravy41@example.com;21 4599 3353;Carvalho;RO;Ford;Ranger;2016;Prata;68861.46;2019-07-30;À vista
4753;Sofia Rocha;65;748.502.619-49;Feminino;Viúvo;nicole29@example.org;+55 (071) 2967 4402;da Rosa de Albuquerque;SP;Volskwagen;Saveiro;2023;Azul;80103.86;2021-04-07;Consórcio
4754;Rafael Rios;37;210.487.563-35;Masculino;Solteiro;ssiqueira@example.com;(041) 6936-9407;Novaes;RN;Volskwagen;Voyage;2017;Verde;163814.66;2023-08-27;Consórcio
4755;Ryan Andrade;29;052.319.784-50;Masculino;Divorciado;igoralbuquerque@example.org;31 2519 1620;Farias;SC;Peugeot;2008;2022;Vermelho;228675.32;2020-12-31;Consórcio
4756;Isabela Silveira;62;175.048.293-23;Feminino;Solteiro;josemartins@example.net;+55 31 2899-0952;da Cruz do Galho;AC;Citroen;C4;2022;Branco;207033.33;2024-12-16;Consórcio
4757;Danilo da Luz;70;518.430.976-48;Masculino;Solteiro;calebe83@example.com;+55 (061) 7508 5801;Azevedo Paulista;RN;Toyota;Yaris;2019;Branco;70431.46;2019-10-24;Consórcio
4758;Noah Peixoto;34;108.679.435-48;Masculino;Casado;barbara39@example.net;+55 (051) 7424 0344;Nogueira;RS;Toyota;Corolla Cross;2022;Preto;212777.8;2023-03-01;Consórcio
4759;Daniela Costa;27;428.531.609-98;Feminino;Casado;luana13@example.net;+55 71 0047 8388;Fogaça;PB;Ford;Ka;2019;Azul;196543.41;2017-11-10;À vista
4760;Théo Melo;36;718.094.562-58;Masculino;Solteiro;stephanyoliveira@example.com;+55 (071) 4569-3720;Melo;MG;Volskwagen;Nivus;2016;Verde;154742.29;2020-08-26;Consórcio
4761;Gabrielly Pereira;24;419.632.750-80;Feminino;Solteiro;ydias@example.com;71 0552 3998;Ferreira de Goiás;TO;Fiat;Mobi;2023;Preto;176368.15;2023-02-15;Consórcio
4762;Carlos Eduardo Rios;61;398.452.170-79;Masculino;Casado;ana-juliavargas@example.net;+55 84 9840 8932;das Neves;MG;Peugeot;3008;2017;Preto;245026.97;2018-01-27;Consórcio
4763;Alana Aparecida;47;360.714.892-96;Feminino;Divorciado;bruna36@example.net;(031) 3488-5351;Borges;MA;Toyota;Hilux;2020;Cinza;202578.45;2019-07-30;À vista
4764;Maysa da Rocha;34;145.728.096-58;Feminino;Divorciado;emelo@example.org;+55 11 1539 1321;Costela;TO;Hyundai;Creta;2017;Preto;64545.85;2024-08-17;Financiamento
4765;Kamilly Nascimento;43;037.519.842-32;Feminino;Solteiro;allana33@example.org;(084) 4361 0110;Casa Grande de Goiás;RR;Honda;Fit;2014;Branco;218332.23;2021-08-24;Consórcio
4766;Liz Vieira;52;963.852.710-21;Feminino;Viúvo;gael-henriquemoraes@example.org;+55 81 6082-4196;Nascimento;RS;Peugeot;2008;2021;Prata;220201.88;2021-02-19;À vista
4767;Carolina Cardoso;21;731.968.450-01;Feminino;Casado;ana-sophia49@example.com;+55 (051) 6125-3699;Machado do Sul;RR;Honda;City;2022;Preto;45768.69;2020-11-15;Consórcio
4768;Luiz Felipe Sales;47;956.240.837-00;Masculino;Divorciado;benicio73@example.org;(084) 1822-9651;Pires;RJ;Honda;Fit;2016;Branco;126482.06;2019-02-09;Financiamento
4769;Isabel Câmara;34;804.975.612-20;Feminino;Viúvo;cunhamathias@example.net;0500-635-4434;Ferreira Verde;CE;Honda;HR-V;2014;Azul;119936.25;2019-05-17;Consórcio
4770;Maria Cecília Rocha;38;839.671.054-66;Feminino;Casado;alexiaramos@example.com;+55 71 8845-8131;Guerra;GO;Ford;Territory;2017;Prata;93509.76;2021-03-30;À vista
4771;Eduarda da Cunha;58;253.047.681-08;Feminino;Divorciado;juliaalves@example.net;+55 (021) 4681-0663;Aparecida;GO;Volskwagen;Nivus;2016;Branco;227904.03;2021-08-16;À vista
4772;Isabelly Sá;46;684.015.392-42;Feminino;Divorciado;gabrielada-mota@example.com;(041) 9493 6979;Costela;RR;Toyota;Camry;2018;Branco;241180.31;2024-03-17;Leasing
4773;Marina Vieira;36;410.857.392-79;Feminino;Solteiro;arthur78@example.com;+55 (081) 0018 4259;da Mata;GO;Peugeot;308;2018;Vermelho;163348.69;2022-03-19;À vista
4774;Rael Nunes;23;740.682.135-26;Masculino;Casado;britothales@example.org;+55 21 6738 3377;Rodrigues da Serra;ES;Toyota;Corolla Cross;2020;Preto;122097.43;2025-02-13;Financiamento
4775;Thomas Vasconcelos;66;247.095.138-05;Masculino;Viúvo;ccasa-grande@example.org;(021) 4886-4532;da Mota;BA;Jeep;Compass;2013;Vermelho;183475.14;2023-04-22;À vista
4776;Carolina Moraes;45;235.987.104-88;Feminino;Divorciado;gustavo-henrique40@example.net;61 4309-7138;da Cruz da Serra;RS;Toyota;Hilux;2020;Verde;57872.3;2024-09-29;Consórcio
4777;Aylla Casa Grande;39;501.843.296-98;Feminino;Viúvo;lucasleao@example.com;+55 11 7238-2129;Pereira;SE;Honda;CR-V;2017;Prata;64284.3;2021-12-27;Consórcio
4778;Ravy Pinto;26;759.216.843-09;Masculino;Solteiro;pedro-miguelaraujo@example.com;+55 31 7935 3461;Moraes;RR;Toyota;Camry;2019;Verde;155763.75;2023-07-01;Leasing
4779;João Pedro das Neves;28;381.924.570-79;Masculino;Casado;maria-helena03@example.com;0800-079-7028;Pastor;RO;Toyota;Etios;2021;Branco;85412.85;2024-06-24;Financiamento
4780;Gabriela Sousa;28;316.980.742-04;Feminino;Viúvo;wda-luz@example.org;+55 81 6165 3751;Melo;MG;Volskwagen;Up;2020;Cinza;169960.23;2018-09-23;Consórcio
4781;Heloisa Pimenta;29;124.950.876-20;Feminino;Casado;mendoncaluiz-henrique@example.org;+55 (071) 6806-3397;Andrade;PR;Ford;Ranger;2018;Branco;207400.27;2021-12-01;Consórcio
4782;Miguel Lopes;60;492.568.031-51;Masculino;Divorciado;da-motaeduardo@example.org;81 7778 3518;Correia das Pedras;AM;Volskwagen;Voyage;2020;Cinza;204243.46;2020-10-07;Consórcio
4783;Ana Lívia da Costa;60;264.075.139-52;Feminino;Divorciado;garciamatteo@example.org;(084) 2182 1307;Farias;MS;Peugeot;2008;2020;Branco;102660.21;2018-11-29;Financiamento
4784;Brenda Sampaio;48;387.496.502-38;Feminino;Divorciado;wda-paz@example.com;(031) 9666-4579;da Cruz de da Paz;DF;Hyundai;Tucson;2023;Preto;189471.22;2022-06-07;À vista
4785;Maysa Pires;25;651.980.247-67;Feminino;Divorciado;gabriela78@example.com;+55 (031) 8403 1835;Azevedo Paulista;RS;Peugeot;2008;2015;Prata;173224.34;2021-02-04;Consórcio
4786;Maria Julia Santos;49;548.396.120-05;Feminino;Casado;lara34@example.net;+55 (071) 9242 4484;Novais da Praia;SC;Ford;Ranger;2023;Azul;77559.19;2021-04-28;Financiamento
4787;Mariah Rodrigues;28;137.206.859-77;Feminino;Viúvo;araujomaria-fernanda@example.net;+55 (011) 3466-3665;Nunes da Mata;PR;Honda;City;2015;Preto;38046.38;2017-07-22;Consórcio
4788;Alexia Nunes;54;493.167.528-09;Feminino;Solteiro;scampos@example.org;81 8555-6370;Teixeira dos Dourados;SP;Toyota;Camry;2022;Branco;61890.85;2020-02-29;Financiamento
4789;Aurora Lopes;43;340.876.251-17;Feminino;Solteiro;mariana40@example.net;+55 (084) 6168 8734;Gonçalves de Pinto;PA;Volskwagen;Nivus;2018;Vermelho;149149.89;2023-06-29;Financiamento
4790;Olívia Azevedo;25;253.964.087-74;Feminino;Divorciado;talbuquerque@example.org;(041) 0056-5786;da Conceição;RS;Honda;City;2023;Verde;196814.62;2024-12-31;À vista
4791;Olivia Almeida;46;657.914.038-01;Feminino;Solteiro;zalbuquerque@example.com;+55 84 5230-2022;Pimenta do Amparo;MS;Peugeot;3008;2018;Cinza;246421.89;2022-10-02;Consórcio
4792;Maria Flor Sousa;31;438.970.265-38;Feminino;Viúvo;agathasiqueira@example.net;+55 (061) 9393-3358;Novaes;MG;Peugeot;208;2017;Branco;160729.59;2025-02-08;À vista
4793;Otto Novaes;22;098.253.417-50;Masculino;Solteiro;sophievargas@example.com;41 5787 7766;Rios;MT;Toyota;Hilux;2013;Branco;123602.26;2022-05-06;Financiamento
4794;Liam Silveira;35;913.687.504-00;Masculino;Divorciado;heitormoraes@example.com;+55 (061) 6902-5628;Duarte;BA;Hyundai;Creta;2022;Branco;91563.58;2023-07-09;Consórcio
4795;Luiz Miguel Sales;53;938.615.024-70;Masculino;Solteiro;lauramendonca@example.com;+55 11 6674-3112;Ramos;PI;Toyota;Corolla Cross;2018;Preto;125770.88;2020-09-02;Financiamento
4796;Benicio Moreira;19;298.736.451-28;Masculino;Viúvo;julia37@example.net;(071) 2669 1461;das Neves do Norte;BA;Hyundai;Creta;2014;Cinza;206119.82;2021-12-21;À vista
4797;Ravi Siqueira;48;907.841.325-50;Masculino;Solteiro;maria-juliacunha@example.net;+55 (011) 7234-6466;Rodrigues;PB;Toyota;Corolla Cross;2023;Cinza;42935.68;2023-05-01;Financiamento
4798;Arthur Gabriel Cavalcanti;53;143.872.506-07;Masculino;Divorciado;maria-sophiafernandes@example.com;+55 (081) 5778-4257;Albuquerque;PA;Volskwagen;Amarok;2017;Cinza;175678.87;2024-04-09;Financiamento
4799;Olívia Mendonça;49;849.150.736-10;Feminino;Divorciado;vitorrios@example.com;+55 (084) 2931 4611;Moraes da Praia;SC;Honda;HR-V;2021;Prata;51285.25;2025-02-20;À vista
4800;Arthur Miguel Moura;56;374.621.890-03;Masculino;Viúvo;ana-juliamoreira@example.net;+55 (051) 4824 6463;Pereira;SE;Honda;CR-V;2023;Vermelho;59157.31;2020-12-05;Consórcio
4801;Theodoro Porto;21;903.748.261-96;Masculino;Viúvo;opinto@example.org;+55 31 7357 4476;Costela;SC;Ford;Ka;2020;Cinza;227944.6;2018-04-26;Consórcio
4802;Guilherme Pires;43;645.023.189-06;Masculino;Divorciado;matteo88@example.com;+55 (051) 5319-2624;Guerra;ES;Fiat;Fastback;2023;Verde;133622.39;2021-02-27;À vista
4803;Sophia Pastor;45;380.419.526-15;Feminino;Divorciado;albuquerqueclara@example.net;+55 84 7065-4941;Barbosa das Flores;RN;Citroen;Basalt;2015;Vermelho;67463.52;2021-09-01;À vista
4804;Henrique Siqueira;44;173.640.952-25;Masculino;Solteiro;xvieira@example.org;71 4755-3020;Nunes;PI;Honda;Fit;2019;Branco;159873.5;2025-03-08;Consórcio
4805;Luigi Lopes;54;521.379.860-86;Masculino;Divorciado;sousastella@example.com;+55 (084) 6664-5625;Novaes Verde;RS;Fiat;Fastback;2016;Vermelho;158517.42;2024-08-11;Financiamento
4806;Maria Helena Ribeiro;40;528.703.641-80;Feminino;Casado;cauaguerra@example.org;+55 (061) 5891-1091;Castro de da Paz;MT;Honda;Fit;2019;Preto;153575.52;2021-01-10;À vista
4807;Julia Campos;41;865.437.290-74;Feminino;Solteiro;joaquim14@example.net;31 5489 2171;Sampaio;DF;Toyota;Hilux;2022;Cinza;233909.13;2017-09-03;À vista
4808;Melina da Luz;22;651.890.234-51;Feminino;Divorciado;vcassiano@example.org;0500-107-2631;Pacheco;PB;Honda;HR-V;2020;Prata;38611.19;2024-07-13;Financiamento
4809;Fernanda Cardoso;43;601.495.872-01;Feminino;Viúvo;nascimentogael@example.org;41 8076 2555;da Costa;MS;Honda;Fit;2016;Verde;199082.63;2024-02-03;Consórcio
4810;João Lima;56;103.849.527-04;Masculino;Casado;isadora73@example.com;+55 (051) 5918-4998;da Conceição;PE;Peugeot;208;2018;Verde;182571.23;2019-05-12;Financiamento
4811;Manuela Pereira;18;158.302.947-88;Feminino;Viúvo;antonyda-mata@example.com;0900 446 6586;Correia;CE;Citroen;Aircross;2014;Verde;43423.69;2021-03-22;À vista
4812;Breno Porto;42;412.893.650-24;Masculino;Viúvo;samuelcamargo@example.net;+55 (011) 7608 7204;Rios Paulista;MG;Ford;Focus;2020;Cinza;201389.09;2022-10-25;À vista
4813;Eloah Melo;37;082.163.957-95;Feminino;Divorciado;fsa@example.net;31 5180-2441;Melo;MS;Honda;CR-V;2013;Vermelho;165210.42;2023-02-04;À vista
4814;Oliver Leão;39;589.260.371-77;Masculino;Solteiro;vitoria76@example.net;+55 84 1610-1011;Pires;RN;Hyundai;Tucson;2021;Prata;232083.93;2022-12-27;Consórcio
4815;João Miguel Campos;26;386.721.409-31;Masculino;Casado;ypires@example.net;+55 (011) 0301 3521;da Mata;MA;Chevrolet;Cruze;2016;Branco;201325.87;2018-06-26;Financiamento
4816;Henry Gabriel Pimenta;33;924.105.638-05;Masculino;Divorciado;santosotavio@example.org;+55 (084) 6240 7644;Dias;CE;Citroen;C3;2020;Branco;49238.97;2021-05-18;Consórcio
4817;Valentim Sá;29;504.831.679-75;Masculino;Divorciado;sophiacassiano@example.org;+55 (051) 8214-2172;Ramos;MA;Fiat;Strada;2015;Azul;120307.48;2025-01-03;À vista
4818;Liz Moraes;63;543.918.706-57;Feminino;Divorciado;tsa@example.com;0900-027-8192;Leão;MS;Honda;CR-V;2022;Prata;192460.02;2017-09-26;À vista
4819;Isis Rios;51;547.028.163-90;Feminino;Divorciado;zda-rocha@example.net;+55 (021) 4390-5719;Castro;PA;Volskwagen;Nivus;2023;Cinza;113673.39;2023-12-02;Financiamento
4820;Eloah Cassiano;29;431.056.972-25;Feminino;Divorciado;davi09@example.com;(061) 8169 7087;Gonçalves da Praia;SP;Hyundai;Creta;2014;Cinza;241310.3;2022-09-07;À vista
4821;Lívia Aparecida;35;420.615.793-61;Feminino;Solteiro;pintoluiz-miguel@example.org;+55 (011) 2019-3180;da Rocha;PI;Toyota;Corolla;2014;Cinza;136096.78;2023-04-06;À vista
4822;Isabela da Mota;23;024.367.591-70;Feminino;Viúvo;camargohelena@example.com;71 9557-4631;Leão;PB;Ford;Ranger;2017;Prata;54979.88;2024-11-02;Consórcio
4823;Vinicius Jesus;32;741.589.602-58;Masculino;Casado;drios@example.net;+55 (021) 9440-5172;Azevedo Paulista;SC;Volskwagen;Nivus;2023;Cinza;181715.68;2022-05-27;À vista
4824;Ryan Pacheco;34;309.842.175-41;Masculino;Divorciado;luiz-henrique93@example.net;0300-914-0629;Fogaça;SC;Chevrolet;Prisma;2013;Branco;175806.58;2017-09-11;Consórcio
4825;Caleb Duarte;68;386.291.047-40;Masculino;Divorciado;cfernandes@example.net;+55 (071) 9285 3100;Sá;RO;Peugeot;208;2013;Vermelho;126185.02;2022-01-20;Financiamento
4826;Bárbara Fonseca;35;157.648.302-90;Feminino;Solteiro;barbosarodrigo@example.org;(071) 6205 7327;Peixoto;RN;Hyundai;Tucson;2015;Vermelho;151081.74;2022-11-06;Consórcio
4827;Lorena Rios;58;320.196.754-80;Feminino;Viúvo;rael77@example.org;(084) 7411-6559;Campos da Praia;GO;Ford;Ka Sedan;2016;Branco;199715.46;2022-06-01;À vista
4828;Pedro Miguel Abreu;65;879.432.605-38;Masculino;Viúvo;peixotoanthony@example.com;81 6779 2092;da Mata;MT;Fiat;500e;2021;Cinza;123058.52;2019-02-19;À vista
4829;Eduarda da Conceição;27;890.426.531-24;Feminino;Divorciado;hda-rocha@example.com;+55 (051) 9917-8835;da Cunha da Prata;AC;Toyota;Corolla;2013;Verde;216081.03;2024-03-21;Consórcio
4830;Luiz Gustavo da Costa;32;267.189.403-13;Masculino;Divorciado;heloisa65@example.com;(081) 9226-2946;Abreu do Norte;SC;Citroen;Aircross;2015;Vermelho;62438.94;2025-03-12;À vista
4831;Bernardo Teixeira;46;651.748.239-37;Masculino;Casado;cda-costa@example.net;+55 (081) 9826-4369;Fonseca do Galho;AM;Chevrolet;S-10;2017;Branco;155575.74;2024-08-19;Consórcio
4832;Zoe Camargo;22;369.285.071-95;Feminino;Solteiro;camargojoao-guilherme@example.com;51 7629 5873;das Neves;PE;Ford;Territory;2016;Prata;70029.82;2017-10-27;À vista
4833;Maria Laura Pereira;34;568.279.130-40;Feminino;Divorciado;maysaazevedo@example.net;31 0340-9353;da Luz do Norte;PR;Toyota;Etios;2021;Branco;113283.82;2020-03-29;À vista
4834;Alice Sousa;21;345.682.791-19;Feminino;Divorciado;julia69@example.org;+55 71 9053 7213;Teixeira Paulista;AC;Chevrolet;Tracker;2019;Cinza;41214.21;2020-06-01;Financiamento
4835;Antonella Rios;70;607.914.853-66;Feminino;Solteiro;ana31@example.com;(041) 2500 7261;Garcia;SC;Volskwagen;Virtus;2013;Branco;182967.74;2024-08-25;À vista
4836;Alexia da Paz;48;285.409.167-11;Feminino;Viúvo;hmendonca@example.com;+55 (061) 3025-2016;Leão;PB;Volskwagen;Saveiro;2016;Vermelho;93033.96;2023-12-14;À vista
4837;Augusto Castro;22;637.015.498-93;Masculino;Casado;costelaluan@example.com;0300 615 1018;Fogaça;PA;Ford;Ecosport;2016;Branco;134369.53;2025-04-11;Consórcio
4838;Melissa Correia;40;406.937.285-74;Feminino;Divorciado;arthurvasconcelos@example.org;+55 31 1632 5719;Aragão;AP;Peugeot;308;2020;Branco;247489.45;2023-07-21;À vista
4839;Yago Gonçalves;46;590.723.146-70;Masculino;Casado;macedomaria-laura@example.com;21 9670 7259;Correia das Flores;BA;Hyundai;HB20;2021;Preto;94981.52;2023-07-05;À vista
4840;Benjamim da Conceição;62;894.307.156-66;Masculino;Divorciado;stella26@example.com;0300 591 7031;Almeida do Oeste;SE;Peugeot;Partner;2023;Vermelho;39653.53;2018-12-09;À vista
4841;Stella Sá;42;478.290.351-05;Feminino;Solteiro;luiz-miguel32@example.org;+55 11 1805 3962;Oliveira da Serra;PI;Peugeot;3008;2016;Verde;124840.72;2023-06-02;Financiamento
4842;Heloisa Montenegro;29;482.967.103-31;Feminino;Solteiro;garciahenry@example.com;84 1197-5481;da Cruz das Flores;PE;Fiat;Pulse;2020;Azul;129395.81;2017-11-14;À vista
4843;Elisa Pinto;69;768.249.105-11;Feminino;Solteiro;ipinto@example.org;(031) 4850 8455;Nunes do Sul;PE;Toyota;Camry;2023;Prata;56273.63;2024-02-08;Consórcio
4844;Rafael Jesus;34;132.460.895-15;Masculino;Divorciado;ana-carolinagomes@example.com;21 0919 5982;Pereira de Abreu;RN;Ford;Territory;2021;Azul;207178.83;2019-07-05;Financiamento
4845;Vitor Gabriel da Conceição;20;614.327.059-70;Masculino;Solteiro;pachecohenry-gabriel@example.net;21 2056 4766;Andrade dos Dourados;BA;Toyota;Corolla;2023;Verde;182070.44;2017-09-01;À vista
4846;Carolina Ribeiro;63;691.032.485-42;Feminino;Divorciado;dfarias@example.org;0500-705-7263;Peixoto de Guerra;MA;Ford;Ka Sedan;2015;Vermelho;191690.82;2023-12-13;À vista
4847;José Cassiano;25;126.875.403-07;Masculino;Casado;ocunha@example.com;+55 21 5118-2405;Pereira;RO;Volskwagen;Saveiro;2015;Branco;41871.09;2025-04-13;À vista
4848;Luísa Pacheco;45;479.631.825-91;Feminino;Solteiro;jmarques@example.net;+55 (084) 4016-3061;Mendonça;RJ;Volskwagen;Virtus;2023;Vermelho;154211.12;2018-04-22;À vista
4849;Ana Beatriz Oliveira;23;803.716.254-08;Feminino;Divorciado;maria-cecilia25@example.com;(084) 1912 6532;Lopes;MA;Chevrolet;S-10;2014;Vermelho;204128.27;2018-05-13;Consórcio
4850;Zoe Rocha;52;371.082.964-03;Feminino;Casado;almeidaluiz-felipe@example.net;71 7483-0868;Vasconcelos;RO;Volskwagen;Gol;2023;Branco;203655.89;2021-04-11;Consórcio
4851;Matheus Silva;31;023.618.574-80;Masculino;Casado;yfogaca@example.net;+55 81 2502-2748;Sales de Cunha;GO;Honda;HR-V;2013;Branco;101182.88;2020-01-12;Financiamento
4852;Zoe Guerra;55;369.127.584-28;Feminino;Viúvo;moraesantonella@example.net;(061) 8072 5046;Cassiano;MG;Toyota;Corolla Cross;2017;Cinza;179344.42;2022-12-28;Financiamento
4853;Eloah Vasconcelos;46;519.436.027-43;Feminino;Viúvo;ibrito@example.net;+55 84 3054-6649;da Mota;TO;Fiat;Argo;2018;Branco;128108.26;2025-02-14;À vista
4854;Ana Sophia Moraes;27;526.340.918-42;Feminino;Viúvo;jnogueira@example.org;(084) 0876-7890;Pinto;MT;Ford;Ka;2019;Vermelho;188294.96;2024-12-16;Financiamento
4855;Raquel Albuquerque;19;208.365.914-70;Feminino;Solteiro;laparecida@example.net;(061) 7272 0530;Montenegro das Pedras;AL;Hyundai;HB20S;2014;Vermelho;140407.47;2018-07-18;À vista
4856;José Montenegro;28;294.503.178-79;Masculino;Viúvo;maria-julia38@example.com;0500-572-3812;Novais da Mata;AL;Volskwagen;Amarok;2022;Preto;197679.05;2020-10-10;À vista
4857;Nicolas Novais;70;910.648.237-69;Masculino;Viúvo;brayan59@example.org;(061) 1519-8712;Alves;MT;Honda;Civic;2017;Cinza;169817.23;2020-03-27;Consórcio
4858;Theodoro Aragão;60;986.047.215-76;Masculino;Casado;clarice86@example.org;84 2786 7022;Fonseca;RN;Toyota;Corolla Cross;2020;Cinza;196687.34;2019-09-16;Consórcio
4859;Ravi Nascimento;66;296.753.810-86;Masculino;Casado;davi-luizsousa@example.com;21 1969-0291;Novaes;MS;Toyota;Hilux;2017;Verde;101975.58;2018-02-28;Financiamento
4860;João Gabriel Cavalcanti;57;284.395.671-46;Masculino;Casado;albuquerqueelisa@example.net;0900-730-1178;Farias das Flores;PR;Ford;Ranger;2014;Branco;190348.28;2019-07-21;Consórcio
4861;Ana Mendes;22;370.246.851-07;Feminino;Divorciado;theodorocirino@example.com;+55 (051) 7456-3355;Andrade;GO;Peugeot;208;2018;Preto;131984.09;2017-06-28;À vista
4862;Ana Siqueira;39;821.679.340-50;Feminino;Casado;hellenacasa-grande@example.com;11 9138-7361;Fonseca;MA;Peugeot;Partner;2021;Cinza;81321.52;2022-04-19;Financiamento
4863;Sophia Fernandes;23;149.605.783-00;Feminino;Divorciado;theo97@example.com;(061) 7841 8850;Cardoso;MG;Volskwagen;Virtus;2014;Verde;203865.46;2024-08-15;Financiamento
4864;Yan Macedo;27;182.576.049-76;Masculino;Casado;daniela70@example.net;+55 11 1112 1801;Vasconcelos;SC;Peugeot;208;2015;Cinza;125418.62;2017-09-06;Consórcio
4865;Pietra Novais;34;709.486.213-03;Feminino;Divorciado;otaviomoreira@example.com;11 4490 7689;Costa;TO;Peugeot;2008;2016;Verde;55266.16;2023-10-28;Financiamento
4866;Mirella Costa;34;824.693.517-82;Feminino;Divorciado;qnunes@example.org;+55 41 2980 9569;Souza dos Dourados;PE;Honda;Civic;2023;Branco;56286.19;2017-12-10;À vista
4867;Ana Sophia Marques;43;597.124.860-01;Feminino;Solteiro;vviana@example.com;+55 (061) 6219-6741;Mendes da Mata;DF;Ford;Ranger;2023;Cinza;36024.83;2024-08-18;À vista
4868;Ester Costela;62;298.063.145-06;Feminino;Divorciado;ryanpimenta@example.net;+55 (011) 3296 5333;Sampaio das Pedras;GO;Ford;Ka Sedan;2015;Prata;79103.25;2021-01-18;Consórcio
4869;Davi Lucca Barbosa;65;186.402.375-90;Masculino;Divorciado;maite76@example.org;(031) 7287 2513;Machado da Praia;MA;Honda;CR-V;2019;Branco;103925.21;2018-08-04;Consórcio
4870;Fernanda Pimenta;24;201.458.637-35;Feminino;Divorciado;ceciliavieira@example.com;61 8848 7731;Pires de Cardoso;MT;Honda;Civic;2020;Prata;112247.31;2023-07-30;À vista
4871;Maria Flor Gonçalves;45;629.034.851-51;Feminino;Viúvo;pintoallana@example.com;(084) 5255-7102;Souza;PA;Peugeot;3008;2019;Vermelho;155712.91;2022-12-16;Consórcio
4872;Juliana da Paz;37;930.781.645-00;Feminino;Solteiro;otavio34@example.net;84 9158-2564;Dias;AP;Ford;Focus;2017;Verde;125489.03;2020-12-25;À vista
4873;João Sá;52;902.865.174-85;Masculino;Viúvo;marcelo74@example.org;0300-350-7695;Nogueira;SP;Citroen;C3;2023;Branco;129536.51;2024-04-14;À vista
4874;Mirella Pinto;24;241.738.905-32;Feminino;Divorciado;alice87@example.net;0800 905 3634;da Cunha;RN;Peugeot;308;2017;Cinza;51656.78;2024-06-11;Financiamento
4875;Levi Fonseca;57;869.052.174-76;Masculino;Solteiro;maria-flor59@example.com;84 7267 8998;Montenegro de Minas;SC;Toyota;Corolla Cross;2019;Branco;34344.77;2022-07-19;Financiamento
4876;Asafe Fernandes;41;296.174.385-00;Masculino;Casado;barbosaluiz-miguel@example.org;+55 (071) 1578 9135;Moreira;AL;Toyota;Corolla;2017;Vermelho;138131.38;2017-04-22;À vista
4877;Francisco Cirino;27;652.384.017-44;Masculino;Casado;machadothomas@example.net;0800-302-1694;Duarte de Correia;AP;Ford;Ka;2023;Prata;179682.87;2021-11-23;Consórcio
4878;Emanuella Pereira;56;536.094.127-80;Feminino;Divorciado;caue54@example.net;0800-210-5287;Leão;SP;Ford;Territory;2022;Branco;31313.46;2024-08-10;Financiamento
4879;Emanuelly Almeida;54;157.360.498-48;Feminino;Viúvo;joao-lucassilva@example.com;0300 397 2211;Nogueira de Minas;AC;Toyota;Hilux;2013;Preto;100486.42;2021-03-20;Consórcio
4880;Alexia Marques;22;308.145.976-10;Feminino;Divorciado;davi-miguelda-rosa@example.net;21 4719-4951;Borges;PR;Honda;Civic;2023;Branco;218253.94;2023-01-15;Consórcio
4881;Vitória Nogueira;50;692.045.371-16;Feminino;Casado;melina16@example.com;+55 11 3828 0925;Mendonça Verde;GO;Ford;Ranger;2020;Branco;158230.4;2024-02-16;À vista
4882;Sabrina Barros;27;147.529.068-30;Feminino;Divorciado;diasdavi@example.com;51 6264 8014;Aragão das Pedras;RO;Toyota;Hilux;2014;Azul;217965.78;2018-04-19;À vista
4883;João Pedro da Luz;43;647.193.285-55;Masculino;Casado;tda-cruz@example.com;(011) 7329-8154;Pereira;RJ;Toyota;Etios;2022;Prata;157501.7;2017-08-20;À vista
4884;Sabrina Fogaça;36;210.683.947-22;Feminino;Casado;costelacaue@example.org;+55 (081) 2082-8708;Montenegro;RR;Citroen;C4;2021;Branco;246199.1;2019-07-23;À vista
4885;Melissa Campos;45;985.426.073-92;Feminino;Divorciado;fbarros@example.org;+55 (011) 6200 6899;Vasconcelos de Goiás;CE;Volskwagen;Nivus;2018;Vermelho;112399.03;2022-01-15;Consórcio
